row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
2670,2670,0000101001101110,0.79614583,0.04069346,7,0.65573890
2671,2671,0000101001101111,0.84653646,0.12568056,8,0.68527966
2672,2672,0000101001110000,0.62308334,0.06979815,5,0.52238535
2673,2673,0000101001110001,0.71029688,0.01020809,6,0.59019480
2674,2674,0000101001110010,0.75589583,0.01091934,6,0.63578664
2675,2675,0000101001110011,0.81612500,0.01160894,7,0.67600891
2676,2676,0000101001110100,0.68928646,0.14683891,6,0.56781807
2677,2677,0000101001110101,0.75831250,0.01335808,7,0.61817892
2678,2678,0000101001110110,0.80054688,0.04118200,7,0.66013506
2679,2679,0000101001110111,0.84647917,0.04148018,8,0.68606437
2680,2680,0000101001111000,0.74480208,0.13025273,6,0.62349955
2681,2681,0000101001111001,0.80457292,0.06196357,7,0.66395328
2682,2682,0000101001111010,0.82964583,0.04073968,7,0.68923843
2683,2683,0000101001111011,0.87047917,0.13449508,8,0.70913422
2684,2684,0000101001111100,0.78676042,0.01186275,7,0.64664179
2685,2685,0000101001111101,0.83426563,0.01555625,8,0.67411007
2686,2686,0000101001111110,0.85868229,0.01784455,8,0.69850385
2687,2687,0000101001111111,0.89209896,0.48629005,9,0.70723606
2688,2688,0000101010000000,0.36788021,0.00867975,3,0.30779341
2689,2689,0000101010000001,0.48366667,0.00948393,4,0.40357183
2690,2690,0000101010000010,0.57643229,0.00886697,4,0.49634362
2691,2691,0000101010000011,0.66571875,0.04247243,5,0.56529402
2692,2692,0000101010000100,0.48869271,0.03610396,4,0.40833167
2693,2693,0000101010000101,0.60055730,0.01057687,5,0.50045153
2694,2694,0000101010000110,0.67391666,0.00955105,5,0.57382115
2695,2695,0000101010000111,0.74280729,0.01301309,6,0.62267716
2696,2696,0000101010001000,0.53813541,0.00879143,4,0.45804750
2697,2697,0000101010001001,0.63742187,0.00998475,5,0.53732202
2698,2698,0000101010001010,0.70778646,0.00930782,5,0.60769338
2699,2699,0000101010001011,0.77030208,0.04737655,6,0.64982832
2700,2700,0000101010001100,0.64573438,0.01071526,5,0.54562722
2701,2701,0000101010001101,0.71991666,0.01176056,6,0.59979906
2702,2702,0000101010001110,0.77106770,0.05383376,6,0.65052937
2703,2703,0000101010001111,0.81622916,0.04251566,7,0.67580401
2704,2704,0000101010010000,0.53388021,0.04102170,4,0.45346999
2705,2705,0000101010010001,0.63126563,0.01069173,5,0.53115871
2706,2706,0000101010010010,0.70593229,0.00953863,5,0.60583690
2707,2707,0000101010010011,0.77202604,0.05087168,6,0.65151733
2708,2708,0000101010010100,0.64819271,0.04179743,5,0.54777474
2709,2709,0000101010010101,0.71924479,0.01065177,6,0.59913828
2710,2710,0000101010010110,0.77911979,0.04740111,6,0.65864578
2711,2711,0000101010010111,0.82683854,0.05288135,7,0.68630973
2712,2712,0000101010011000,0.68141667,0.01074940,5,0.58130918
2713,2713,0000101010011001,0.75450000,0.04157601,6,0.63408424
2714,2714,0000101010011010,0.79904167,0.04342122,6,0.67860745
2715,2715,0000101010011011,0.84623438,0.13361391,7,0.70489824
2716,2716,0000101010011100,0.76098437,0.01173009,6,0.64086707
2717,2717,0000101010011101,0.81009375,0.03821903,7,0.66971156
2718,2718,0000101010011110,0.84461979,0.03935183,7,0.70422627
2719,2719,0000101010011111,0.87708333,0.13331957,8,0.71575013
2720,2720,0000101010100000,0.49583333,0.05121935,4,0.41532114
2721,2721,0000101010100001,0.61915104,0.03328070,5,0.51881823
2722,2722,0000101010100010,0.68246354,0.03375734,5,0.58212597
2723,2723,0000101010100011,0.76225520,0.02168330,6,0.64203837
2724,2724,0000101010100100,0.58625000,0.01098471,5,0.48614015
2725,2725,0000101010100101,0.68763541,0.14191638,6,0.56621625
2726,2726,0000101010100110,0.74415624,0.01033587,6,0.62405288
2727,2727,0000101010100111,0.80513541,0.04024834,7,0.66473293
2728,2728,0000101010101000,0.64844791,0.04068485,5,0.54804107
2729,2729,0000101010101001,0.74100521,0.01081534,6,0.62089705
2730,2730,0000101010101010,0.77997396,0.01144382,6,0.65985952
2731,2731,0000101010101011,0.83266146,0.05571650,7,0.69210429
2732,2732,0000101010101100,0.71331250,0.04089084,6,0.59290359
2733,2733,0000101010101101,0.78439583,0.04269758,7,0.64396886
2734,2734,0000101010101110,0.82007292,0.14120910,7,0.67866082
2735,2735,0000101010101111,0.85744271,0.05258818,8,0.69691683
2736,2736,0000101010110000,0.64441666,0.01081494,5,0.54430851
2737,2737,0000101010110001,0.72936458,0.01130648,6,0.60925152
2738,2738,0000101010110010,0.77975521,0.04705157,6,0.65928469
2739,2739,0000101010110011,0.83441146,0.13894470,7,0.69302201
