row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
53357,53357,1101000001101101,0.72681250,0.01097959,8,0.56571454
53358,53358,1101000001101110,0.75732291,0.01591863,8,0.59573105
53359,53359,1101000001101111,0.81325522,0.02422381,9,0.63083283
53360,53360,1101000001110000,0.57061458,0.01534422,6,0.44908016
53361,53361,1101000001110001,0.65718229,0.01198491,7,0.51598380
53362,53362,1101000001110010,0.70002604,0.01405165,7,0.55862088
53363,53363,1101000001110011,0.75961458,0.03660835,8,0.59595374
53364,53364,1101000001110100,0.65056250,0.03848190,7,0.50671431
53365,53365,1101000001110101,0.72276041,0.13347946,8,0.54941247
53366,53366,1101000001110110,0.77023438,0.01240484,8,0.60899389
53367,53367,1101000001110111,0.81540104,0.04753572,9,0.63064747
53368,53368,1101000001111000,0.69790104,0.04121381,7,0.55377966
53369,53369,1101000001111001,0.76353645,0.14548376,8,0.58898807
53370,53370,1101000001111010,0.79655728,0.01268489,8,0.63528880
53371,53371,1101000001111011,0.83802604,0.07002864,9,0.65102318
53372,53372,1101000001111100,0.75045313,0.13616586,8,0.57683655
53373,53373,1101000001111101,0.80528125,0.01651991,9,0.62362926
53374,53374,1101000001111110,0.83614584,0.04713129,9,0.65143271
53375,53375,1101000001111111,0.87186458,0.50653068,10,0.62121151
53376,53376,1101000010000000,0.23845313,0.01014431,4,0.15743869
53377,53377,1101000010000001,0.35878125,0.01129398,5,0.25765185
53378,53378,1101000010000010,0.45071875,0.03622523,5,0.34709623
53379,53379,1101000010000011,0.55694792,0.03412854,6,0.43353506
53380,53380,1101000010000100,0.41680729,0.04162112,5,0.31264518
53381,53381,1101000010000101,0.53341146,0.04566371,6,0.40884509
53382,53382,1101000010000110,0.62410937,0.01153739,6,0.50295563
53383,53383,1101000010000111,0.69801562,0.03810428,7,0.55420520
53384,53384,1101000010001000,0.42203125,0.03895347,5,0.31813590
53385,53385,1101000010001001,0.53174479,0.01174266,6,0.41057053
53386,53386,1101000010001010,0.63598958,0.01885608,6,0.51410398
