row,decimal,fitness,bitstring
310892,310892,0.65563285,1001011111001101100
311593,311593,0.72948931,1001100000100101001
311827,311827,0.72414891,1001100001000010011
312020,312020,0.70652417,1001100001011010100
312458,312458,0.72432019,1001100010010001010
312718,312718,0.69060738,1001100010110001110
313643,313643,0.70502849,1001100100100101011
314473,314473,0.69247060,1001100110001101001
314511,314511,0.69677174,1001100110010001111
314813,314813,0.64364255,1001100110110111101
314814,314814,0.62414113,1001100110110111110
315187,315187,0.63892101,1001100111100110011
315496,315496,0.73703648,1001101000001101000
316087,316087,0.65864855,1001101001010110111
319186,319186,0.64531032,1001101111011010010
319420,319420,0.61442234,1001101111110111100
320042,320042,0.69485297,1001110001000101010
320146,320146,0.69140442,1001110001010010010
320678,320678,0.67490330,1001110010010100110
321129,321129,0.65081678,1001110011001101001
322208,322208,0.70936666,1001110101010100000
323183,323183,0.61432134,1001110111001101111
324169,324169,0.69603119,1001111001001001001
325976,325976,0.63941325,1001111100101011000
328224,328224,0.77752069,1010000001000100000
329856,329856,0.78663526,1010000100010000000
330173,330173,0.67461406,1010000100110111101
330420,330420,0.68962178,1010000101010110100
331336,331336,0.71633478,1010000111001001000
331722,331722,0.65756845,1010000111111001010
333894,333894,0.74773752,1010001100001000110
334010,334010,0.69464076,1010001100010111010
335897,335897,0.74419109,1010010000000011001
335972,335972,0.72493532,1010010000001100100
336943,336943,0.69241683,1010010010000101111
337617,337617,0.66993489,1010010011011010001
337768,337768,0.68533847,1010010011101101000
337977,337977,0.70170019,1010010100000111001
337992,337992,0.72263647,1010010100001001000
338192,338192,0.72832686,1010010100100010000
338764,338764,0.67106577,1010010101101001100
342306,342306,0.72766972,1010011100100100010
344109,344109,0.74165361,1010100000000101101
348527,348527,0.66777328,1010101000101101111
349766,349766,0.69852771,1010101011001000110
351280,351280,0.68888796,1010101110000110000
351801,351801,0.64641703,1010101111000111001
352529,352529,0.70622350,1010110000100010001
353076,353076,0.65518760,1010110001100110100
353345,353345,0.70509098,1010110010001000001
354377,354377,0.70315906,1010110100001001001
355457,355457,0.69899726,1010110110010000001
359012,359012,0.67972206,1010111101001100100
361485,361485,0.73175371,1011000010000001101
361607,361607,0.72020064,1011000010010000111
362761,362761,0.71372992,1011000100100001001
362764,362764,0.72080396,1011000100100001100
366101,366101,0.67488677,1011001011000010101
368554,368554,0.62509709,1011001111110101010
368860,368860,0.67289690,1011010000011011100
369456,369456,0.69247177,1011010001100110000
369678,369678,0.69493633,1011010010000001110
371255,371255,0.64654495,1011010101000110111
372232,372232,0.68988633,1011010111000001000
372949,372949,0.67972897,1011011000011010101
373716,373716,0.64539070,1011011001111010100
376052,376052,0.62848058,1011011110011110100
376397,376397,0.65285338,1011011111001001101
376715,376715,0.61803437,1011011111110001011
377118,377118,0.66075235,1011100000100011110
378084,378084,0.66775440,1011100010011100100
380168,380168,0.68480894,1011100110100001000
380969,380969,0.71160830,1011101000000101001
381445,381445,0.70264891,1011101001000000101
387139,387139,0.71486238,1011110100001000011
387185,387185,0.64579676,1011110100001110001
387345,387345,0.66005872,1011110100100010001
388868,388868,0.63942384,1011110111100000100
389815,389815,0.61711089,1011111001010110111
391461,391461,0.65175141,1011111100100100101
391812,391812,0.70036064,1011111101010000100
392629,392629,0.59575935,1011111110110110101
393493,393493,0.74207269,1100000000100010101
394193,394193,0.69758642,1100000001111010001
394745,394745,0.68480722,1100000010111111001
395481,395481,0.72242944,1100000100011011001
395528,395528,0.76505440,1100000100100001000
397421,397421,0.73797945,1100001000001101101
398024,398024,0.73015056,1100001001011001000
399698,399698,0.70256491,1100001100101010010
400780,400780,0.71675142,1100001110110001100
401737,401737,0.73049151,1100010000101001001
401792,401792,0.76345066,1100010000110000000
401801,401801,0.73692087,1100010000110001001
401961,401961,0.73956243,1100010001000101001
403476,403476,0.72885925,1100010100000010100
407041,407041,0.75833899,1100011011000000001
407098,407098,0.66803427,1100011011000111010
408896,408896,0.72625188,1100011110101000000
410374,410374,0.71629746,1100100001100000110
410844,410844,0.67735032,1100100010011011100
411617,411617,0.62742498,1100100011111100001
411936,411936,0.73477458,1100100100100100000
411957,411957,0.68522564,1100100100100110101
412416,412416,0.74122320,1100100101100000000
412538,412538,0.63480924,1100100101101111010
413737,413737,0.73878226,1100101000000101001
413988,413988,0.76173174,1100101000100100100
413991,413991,0.72264307,1100101000100100111
417123,417123,0.66369506,1100101110101100011
420384,420384,0.71381994,1100110101000100000
420720,420720,0.65999686,1100110101101110000
422723,422723,0.69668771,1100111001101000011
423229,423229,0.65189304,1100111010100111101
423712,423712,0.69351676,1100111011100100000
429421,429421,0.67644126,1101000110101101101
429482,429482,0.67166720,1101000110110101010
429816,429816,0.66484440,1101000111011111000
